id,score,category,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
14,0.948,Home,0.447030514,0.447030514,0.447030514,0.447030514,0.447030514,0,0,0,0,0,0,0,0,0,0.0286099557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.944,Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290566087,0,0,0,0,0,0,0,0,0,0.447024763,0.447024763,0.447024763,0.447024763,0.447024763,0,0
16,0.94,Misc,0.447018921,0.447018921,0.447018921,0.447018921,0.447018921,0,0,0,0,0,0,0,0,0,0,0,0.0295032486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.936,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223550927,0,0,0.447101831,0.447101831,0.447101831,0.447101831,0.447101831,0,0,0,0,0,0,0
18,0.932,Electronics,0,0,0,0,0,0.447097331,0.447097331,0.447097331,0.447097331,0.447097331,0,0,0,0,0,0,0,0,0.0228019636,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.928,Books,0,0,0,0,0,0,0,0,0,0,0.447092712,0.447092712,0.447092712,0.447092712,0.447092712,0,0,0,0,0.0232488215,0,0,0,0,0,0,0,0,0,0,0,0
20,0.924,Electronics,0,0,0,0,0,0.447088033,0.447088033,0.447088033,0.447088033,0.447088033,0,0,0,0,0,0,0,0,0,0,0.0236956645,0,0,0,0,0,0,0,0,0,0,0
21,0.92,Books,0,0,0,0,0,0,0,0,0,0,0.447083235,0.447083235,0.447083235,0.447083235,0.447083235,0,0,0,0,0,0,0.0241424963,0,0,0,0,0,0,0,0,0,0
22,0.916,Electronics,0,0,0,0,0,0.447078377,0.447078377,0.447078377,0.447078377,0.447078377,0,0,0,0,0,0,0,0,0,0,0,0,0.0245893113,0,0,0,0,0,0,0,0,0
23,0.912,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44707343,0.44707343,0.44707343,0.44707343,0.44707343,0,0,0,0.0250361115,0,0,0,0,0,0,0,0
24,0.908,Electronics,0,0,0,0,0,0.447068363,0.447068363,0.447068363,0.447068363,0.447068363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254828967,0,0,0,0,0,0,0
25,0.904,Beauty,0,0,0,0,0,0.447063237,0.447063237,0.447063237,0.447063237,0.447063237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259296671,0,0,0,0,0,0
26,0.9,Electronics,0,0,0,0,0,0.447057992,0.447057992,0.447057992,0.447057992,0.447057992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263764225,0,0,0,0,0
27,0.896,Beauty,0,0,0,0,0,0.447052687,0.447052687,0.447052687,0.447052687,0.447052687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268231612,0,0,0,0
28,0.892,Toys,0,0,0,0,0,0,0,0,0,0,0.447047293,0.447047293,0.447047293,0.447047293,0.447047293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272698849,0,0,0
29,0.888,Beauty,0,0,0,0,0,0.44704178,0.44704178,0.44704178,0.44704178,0.44704178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277165901,0,0
30,0.884,Electronics,0,0,0,0,0,0.447036207,0.447036207,0.447036207,0.447036207,0.447036207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281632803,0
31,0.88,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447030514,0.447030514,0.447030514,0.447030514,0.447030514,0,0,0,0,0,0,0,0,0,0,0,0.0286099557
32,0.876,Misc,0.470015496,0.441329092,0.441329092,0.441329092,0.441329092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.872,Toys,0,0.0295032486,0,0,0,0,0,0,0,0,0.447018921,0.447018921,0.447018921,0.447018921,0.447018921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.868,Clothing,0,0,0.0223550927,0,0,0,0,0,0,0,0,0,0,0,0,0.447101831,0.447101831,0.447101831,0.447101831,0.447101831,0,0,0,0,0,0,0,0,0,0,0,0
35,0.864,Home,0.44260785,0.44260785,0.44260785,0.465180844,0.44260785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.86,Clothing,0,0,0,0,0.0232488215,0,0,0,0,0,0,0,0,0,0,0.447092712,0.447092712,0.447092712,0.447092712,0.447092712,0,0,0,0,0,0,0,0,0,0,0,0
37,0.856,Electronics,0,0,0,0,0,0.465874046,0.442425519,0.442425519,0.442425519,0.442425519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.852,Books,0,0,0,0,0,0,0.0241424963,0,0,0,0.447083235,0.447083235,0.447083235,0.447083235,0.447083235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.848,Books,0,0,0,0,0,0,0,0.0245893113,0,0,0.447078377,0.447078377,0.447078377,0.447078377,0.447078377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.844,Electronics,0,0,0,0,0,0.442151815,0.442151815,0.442151815,0.466912299,0.442151815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.84,Automotive,0,0,0,0,0,0,0,0,0,0.0254828967,0,0,0,0,0,0.447068363,0.447068363,0.447068363,0.447068363,0.447068363,0,0,0,0,0,0,0,0,0,0,0,0
42,0.836,Automotive,0,0,0,0,0,0,0,0,0,0,0.0259296671,0,0,0,0,0.447063237,0.447063237,0.447063237,0.447063237,0.447063237,0,0,0,0,0,0,0,0,0,0,0,0
43,0.832,Misc,0.447057992,0.447057992,0.447057992,0.447057992,0.447057992,0,0,0,0,0,0,0.0263764225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.828,Home,0.447052687,0.447052687,0.447052687,0.447052687,0.447052687,0,0,0,0,0,0,0,0.0268231612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.824,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272698849,0,0,0,0,0,0,0.447047293,0.447047293,0.447047293,0.447047293,0.447047293,0,0,0,0,0,0,0
46,0.82,Home,0.44704178,0.44704178,0.44704178,0.44704178,0.44704178,0,0,0,0,0,0,0,0,0,0.0277165901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.816,Home,0.447036207,0.447036207,0.447036207,0.447036207,0.447036207,0,0,0,0,0,0,0,0,0,0,0.0281632803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.812,Home,0.447030514,0.447030514,0.447030514,0.447030514,0.447030514,0,0,0,0,0,0,0,0,0,0,0,0.0286099557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.808,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441329092,0.441329092,0.470015496,0.441329092,0.441329092,0,0,0,0,0,0,0,0,0,0,0,0
50,0.804,Books,0,0,0,0,0,0,0,0,0,0,0.447018921,0.447018921,0.447018921,0.447018921,0.447018921,0,0,0,0.0295032486,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.8,Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223550927,0,0,0,0,0,0.447101831,0.447101831,0.447101831,0.447101831,0.447101831,0,0
52,0.796,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447097331,0.447097331,0.447097331,0.447097331,0.447097331,0.0228019636,0,0,0,0,0,0,0,0,0,0,0
53,0.792,Toys,0,0,0,0,0,0,0,0,0,0,0.447092712,0.447092712,0.447092712,0.447092712,0.447092712,0,0,0,0,0,0,0.0232488215,0,0,0,0,0,0,0,0,0,0
54,0.788,Beauty,0,0,0,0,0,0.447088033,0.447088033,0.447088033,0.447088033,0.447088033,0,0,0,0,0,0,0,0,0,0,0,0,0.0236956645,0,0,0,0,0,0,0,0,0
55,0.784,Electronics,0,0,0,0,0,0.447083235,0.447083235,0.447083235,0.447083235,0.447083235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241424963,0,0,0,0,0,0,0,0
56,0.78,Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245893113,0.447078377,0.447078377,0.447078377,0.447078377,0.447078377,0,0
57,0.776,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44707343,0.44707343,0.44707343,0.44707343,0.44707343,0,0,0,0,0,0.0250361115,0,0,0,0,0,0
58,0.772,Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4420605,0.467257977,0.4420605,0.4420605,0.4420605,0,0
59,0.768,Beauty,0,0,0,0,0,0.447063237,0.447063237,0.447063237,0.447063237,0.447063237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259296671,0,0,0,0
60,0.764,Home,0.447057992,0.447057992,0.447057992,0.447057992,0.447057992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263764225,0,0,0
61,0.76,Toys,0,0,0,0,0,0,0,0,0,0,0.447052687,0.447052687,0.447052687,0.447052687,0.447052687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268231612,0,0
62,0.756,Electronics,0,0,0,0,0,0.447047293,0.447047293,0.447047293,0.447047293,0.447047293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272698849,0
63,0.752,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44704178,0.44704178,0.44704178,0.44704178,0.44704178,0,0,0,0,0,0,0,0,0,0,0,0.0277165901
64,0.748,Food,0.0281632803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447036207,0.447036207,0.447036207,0.447036207,0.447036207,0,0
65,0.744,Beauty,0,0.0286099557,0,0,0,0.447030514,0.447030514,0.447030514,0.447030514,0.447030514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0.74,Sports,0,0,0.0290566087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447024763,0.447024763,0.447024763,0.447024763,0.447024763,0,0,0,0,0,0,0
67,0.736,Automotive,0,0,0,0.0295032486,0,0,0,0,0,0,0,0,0,0,0,0.447018921,0.447018921,0.447018921,0.447018921,0.447018921,0,0,0,0,0,0,0,0,0,0,0,0
68,0.732,Clothing,0,0,0,0,0.0223550927,0,0,0,0,0,0,0,0,0,0,0.447101831,0.447101831,0.447101831,0.447101831,0.447101831,0,0,0,0,0,0,0,0,0,0,0,0
69,0.728,Beauty,0,0,0,0,0,0.465180844,0.44260785,0.44260785,0.44260785,0.44260785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.724,Books,0,0,0,0,0,0,0.0232488215,0,0,0,0.447092712,0.447092712,0.447092712,0.447092712,0.447092712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.72,Clothing,0,0,0,0,0,0,0,0.0236956645,0,0,0,0,0,0,0,0.447088033,0.447088033,0.447088033,0.447088033,0.447088033,0,0,0,0,0,0,0,0,0,0,0,0
72,0.716,Books,0,0,0,0,0,0,0,0,0.0241424963,0,0.447083235,0.447083235,0.447083235,0.447083235,0.447083235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0.712,Home,0.447078377,0.447078377,0.447078377,0.447078377,0.447078377,0,0,0,0,0.0245893113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.708,Toys,0,0,0,0,0,0,0,0,0,0,0.466912299,0.442151815,0.442151815,0.442151815,0.442151815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.704,Books,0,0,0,0,0,0,0,0,0,0,0.4420605,0.467257977,0.4420605,0.4420605,0.4420605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.7,Electronics,0,0,0,0,0,0.447063237,0.447063237,0.447063237,0.447063237,0.447063237,0,0,0.0259296671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0.696,Electronics,0,0,0,0,0,0.447057992,0.447057992,0.447057992,0.447057992,0.447057992,0,0,0,0.0263764225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0.692,Clothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268231612,0.447052687,0.447052687,0.447052687,0.447052687,0.447052687,0,0,0,0,0,0,0,0,0,0,0,0
79,0.688,Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272698849,0,0,0,0,0,0,0,0,0,0.447047293,0.447047293,0.447047293,0.447047293,0.447047293,0,0
80,0.684,Electronics,0,0,0,0,0,0.44704178,0.44704178,0.44704178,0.44704178,0.44704178,0,0,0,0,0,0,0.0277165901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.68,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281632803,0,0,0.447036207,0.447036207,0.447036207,0.447036207,0.447036207,0,0,0,0,0,0,0
82,0.676,Beauty,0,0,0,0,0,0.447030514,0.447030514,0.447030514,0.447030514,0.447030514,0,0,0,0,0,0,0,0,0.0286099557,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0.672,Electronics,0,0,0,0,0,0.447024763,0.447024763,0.447024763,0.447024763,0.447024763,0,0,0,0,0,0,0,0,0,0.0290566087,0,0,0,0,0,0,0,0,0,0,0,0
84,0.668,Books,0,0,0,0,0,0,0,0,0,0,0.447018921,0.447018921,0.447018921,0.447018921,0.447018921,0,0,0,0,0,0.0295032486,0,0,0,0,0,0,0,0,0,0,0
85,0.664,Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223550927,0,0,0,0.447101831,0.447101831,0.447101831,0.447101831,0.447101831,0,0
86,0.66,Home,0.447097331,0.447097331,0.447097331,0.447097331,0.447097331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228019636,0,0,0,0,0,0,0,0,0
87,0.656,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447092712,0.447092712,0.447092712,0.447092712,0.447092712,0,0,0,0.0232488215,0,0,0,0,0,0,0,0
88,0.652,Books,0,0,0,0,0,0,0,0,0,0,0.447088033,0.447088033,0.447088033,0.447088033,0.447088033,0,0,0,0,0,0,0,0,0,0.0236956645,0,0,0,0,0,0,0
89,0.648,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447083235,0.447083235,0.447083235,0.447083235,0.447083235,0,0,0,0,0,0.0241424963,0,0,0,0,0,0
90,0.644,Clothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447078377,0.447078377,0.447078377,0.447078377,0.447078377,0,0,0,0,0,0,0.0245893113,0,0,0,0,0
91,0.64,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44707343,0.44707343,0.44707343,0.44707343,0.44707343,0,0,0,0,0,0,0,0.0250361115,0,0,0,0
92,0.636,Books,0,0,0,0,0,0,0,0,0,0,0.447068363,0.447068363,0.447068363,0.447068363,0.447068363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254828967,0,0,0
93,0.632,Books,0,0,0,0,0,0,0,0,0,0,0.447063237,0.447063237,0.447063237,0.447063237,0.447063237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259296671,0,0
94,0.628,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447057992,0.447057992,0.447057992,0.447057992,0.447057992,0,0,0,0,0,0.0263764225,0
95,0.624,Misc,0.447052687,0.447052687,0.447052687,0.447052687,0.447052687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268231612
96,0.62,Toys,0.0272698849,0,0,0,0,0,0,0,0,0,0.447047293,0.447047293,0.447047293,0.447047293,0.447047293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.616,Automotive,0,0.0277165901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44704178,0.44704178,0.44704178,0.44704178,0.44704178,0,0,0,0,0,0,0,0,0,0,0,0
98,0.612,Misc,0.441512138,0.441512138,0.46932736,0.441512138,0.441512138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.608,Sports,0,0,0,0.0286099557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447030514,0.447030514,0.447030514,0.447030514,0.447030514,0,0,0,0,0,0,0
100,0.604,Home,0.441329092,0.441329092,0.441329092,0.441329092,0.470015496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0.6,Misc,0.447018921,0.447018921,0.447018921,0.447018921,0.447018921,0.0295032486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0.596,Automotive,0,0,0,0,0,0,0.0223550927,0,0,0,0,0,0,0,0,0.447101831,0.447101831,0.447101831,0.447101831,0.447101831,0,0,0,0,0,0,0,0,0,0,0,0
103,0.592,Clothing,0,0,0,0,0,0,0,0.0228019636,0,0,0,0,0,0,0,0.447097331,0.447097331,0.447097331,0.447097331,0.447097331,0,0,0,0,0,0,0,0,0,0,0,0
104,0.588,Automotive,0,0,0,0,0,0,0,0,0.0232488215,0,0,0,0,0,0,0.447092712,0.447092712,0.447092712,0.447092712,0.447092712,0,0,0,0,0,0,0,0,0,0,0,0
105,0.584,Electronics,0,0,0,0,0,0.442425519,0.442425519,0.442425519,0.442425519,0.465874046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.58,Beauty,0,0,0,0,0,0.447083235,0.447083235,0.447083235,0.447083235,0.447083235,0.0241424963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.576,Toys,0,0,0,0,0,0,0,0,0,0,0.442243069,0.466566414,0.442243069,0.442243069,0.442243069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.572,Home,0.44707343,0.44707343,0.44707343,0.44707343,0.44707343,0,0,0,0,0,0,0,0.0250361115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0.568,Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254828967,0,0,0,0,0,0,0,0,0,0,0,0.447068363,0.447068363,0.447068363,0.447068363,0.447068363,0,0
110,0.564,Misc,0.447063237,0.447063237,0.447063237,0.447063237,0.447063237,0,0,0,0,0,0,0,0,0,0.0259296671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0.56,Toys,0,0,0,0,0,0,0,0,0,0,0.447057992,0.447057992,0.447057992,0.447057992,0.447057992,0.0263764225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0.556,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268231612,0,0,0,0.447052687,0.447052687,0.447052687,0.447052687,0.447052687,0,0,0,0,0,0,0
113,0.552,Clothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441695035,0.441695035,0.46863842,0.441695035,0.441695035,0,0,0,0,0,0,0,0,0,0,0,0
114,0.548,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441603601,0.441603601,0.441603601,0.468983024,0.441603601,0,0,0,0,0,0,0,0,0,0,0,0
115,0.544,Clothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441512138,0.441512138,0.441512138,0.441512138,0.46932736,0,0,0,0,0,0,0,0,0,0,0,0
116,0.54,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447030514,0.447030514,0.447030514,0.447030514,0.447030514,0.0286099557,0,0,0,0,0,0,0,0,0,0,0
117,0.536,Misc,0.447024763,0.447024763,0.447024763,0.447024763,0.447024763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290566087,0,0,0,0,0,0,0,0,0,0
118,0.532,Misc,0.447018921,0.447018921,0.447018921,0.447018921,0.447018921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295032486,0,0,0,0,0,0,0,0,0
119,0.528,Misc,0.447101831,0.447101831,0.447101831,0.447101831,0.447101831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223550927,0,0,0,0,0,0,0,0
120,0.524,Books,0,0,0,0,0,0,0,0,0,0,0.447097331,0.447097331,0.447097331,0.447097331,0.447097331,0,0,0,0,0,0,0,0,0,0.0228019636,0,0,0,0,0,0,0
121,0.52,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447092712,0.447092712,0.447092712,0.447092712,0.447092712,0.0232488215,0,0,0,0,0,0
122,0.516,Home,0.447088033,0.447088033,0.447088033,0.447088033,0.447088033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236956645,0,0,0,0,0
123,0.512,Electronics,0,0,0,0,0,0.447083235,0.447083235,0.447083235,0.447083235,0.447083235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241424963,0,0,0,0
124,0.508,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447078377,0.447078377,0.447078377,0.447078377,0.447078377,0,0,0,0.0245893113,0,0,0
125,0.504,Misc,0.44707343,0.44707343,0.44707343,0.44707343,0.44707343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250361115,0,0
126,0.5,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447068363,0.447068363,0.447068363,0.447068363,0.447068363,0,0,0,0,0,0.0254828967,0
127,0.496,Home,0.447063237,0.447063237,0.447063237,0.447063237,0.447063237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259296671
128,0.492,Automotive,0.0263764225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447057992,0.447057992,0.447057992,0.447057992,0.447057992,0,0,0,0,0,0,0,0,0,0,0,0
